State,Count
Alabama,23
Arkansas,28
Indiana,97
California,7247
Iowa,34
Kansas,43
Kentucky,46
Louisiana,26
Maine,14
Maryland,229
Massachusetts,1190
Michigan,137
Colorado,414
Minnesota,141
Mississippi,2
Missouri,145
Montana,13
Nebraska,39
Nevada,84
New Hampshire,39
New Jersey,216
New Mexico,20
New York,2125
Connecticut,121
North Carolina,229
North Dakota,9
Ohio,238
Oklahoma,28
Oregon,153
Pennsylvania,408
Rhode Island,53
Delaware,60
South Carolina,51
South Dakota,5
Tennessee,185
Texas,771
Utah,165
Vermont,21
Virginia,292
District of Columbia,128
West Virginia,3
Wisconsin,91
Florida,402
Wyoming,5
Arizona,142
Georgia,287
Hawaii,27
Idaho,23
Illinois,503
Washington,592
Alaska,5
